onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	1101101111.jpg	6	8
14	5	1	0010010011.jpg	2	4
26	5	1	1000100011.jpg	2	2
38	5	1	0101000011.jpg	2	3
50	5	2	0111011111.jpg	6	6
62	5	2	1010111111.jpg	6	7
74	5	2	1111110011.jpg	6	5
86	5	1	0000001111.jpg	2	1
98	5	2	1010111111.jpg	6	7
110	5	1	1000100011.jpg	2	2
122	5	2	0111011111.jpg	6	6
134	5	1	0010010011.jpg	2	4
146	5	2	1111110011.jpg	6	5
158	5	2	1101101111.jpg	6	8
170	5	1	0000001111.jpg	2	1
182	5	1	0101000011.jpg	2	3
194	5	1	1000100011.jpg	2	2
206	5	2	1010111111.jpg	6	7
218	5	2	1111110011.jpg	6	5
230	5	1	0000001111.jpg	2	1
242	5	2	1101101111.jpg	6	8
254	5	1	0010010011.jpg	2	4
266	5	2	0111011111.jpg	6	6
278	5	1	0101000011.jpg	2	3
