onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	1000100011.jpg	2	2
14	5	2	1010111111.jpg	6	7
26	5	1	0010010011.jpg	2	4
38	5	2	1111110011.jpg	6	5
50	5	1	0101000011.jpg	2	3
62	5	2	1101101111.jpg	6	8
74	5	2	0111011111.jpg	6	6
86	5	1	0000001111.jpg	2	1
98	5	1	0010010011.jpg	2	4
110	5	2	1010111111.jpg	6	7
122	5	2	0111011111.jpg	6	6
134	5	2	1101101111.jpg	6	8
146	5	1	1000100011.jpg	2	2
158	5	2	1111110011.jpg	6	5
170	5	1	0101000011.jpg	2	3
182	5	1	0000001111.jpg	2	1
194	5	2	1101101111.jpg	6	8
206	5	2	1010111111.jpg	6	7
218	5	1	0000001111.jpg	2	1
230	5	2	1111110011.jpg	6	5
242	5	2	0111011111.jpg	6	6
254	5	1	0010010011.jpg	2	4
266	5	1	1000100011.jpg	2	2
278	5	1	0101000011.jpg	2	3
