onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	0010010011.jpg	2	4
14	5	1	1000100011.jpg	2	2
26	5	2	0111011111.jpg	6	6
38	5	2	1111110011.jpg	6	5
50	5	1	0000001111.jpg	2	1
62	5	2	1101101111.jpg	6	8
74	5	2	1010111111.jpg	6	7
86	5	1	0101000011.jpg	2	3
98	5	1	0101000011.jpg	2	3
110	5	1	0010010011.jpg	2	4
122	5	2	0111011111.jpg	6	6
134	5	2	1111110011.jpg	6	5
146	5	1	1000100011.jpg	2	2
158	5	1	0000001111.jpg	2	1
170	5	2	1010111111.jpg	6	7
182	5	2	1101101111.jpg	6	8
194	5	2	1111110011.jpg	6	5
206	5	2	1010111111.jpg	6	7
218	5	1	0000001111.jpg	2	1
230	5	2	0111011111.jpg	6	6
242	5	1	0010010011.jpg	2	4
254	5	1	0101000011.jpg	2	3
266	5	1	1000100011.jpg	2	2
278	5	2	1101101111.jpg	6	8
