onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0101000011.jpg	6	5
14	5	1	0010010011.jpg	2	2
26	5	2	0111011111.jpg	6	8
38	5	1	1000100011.jpg	2	4
50	5	1	1010111111.jpg	2	1
62	5	1	1111110011.jpg	2	3
74	5	2	1101101111.jpg	6	6
86	5	2	0000001111.jpg	6	7
98	5	1	1000100011.jpg	2	4
110	5	1	1010111111.jpg	2	1
122	5	2	0111011111.jpg	6	8
134	5	1	1111110011.jpg	2	3
146	5	2	0101000011.jpg	6	5
158	5	2	1101101111.jpg	6	6
170	5	2	0000001111.jpg	6	7
182	5	1	0010010011.jpg	2	2
194	5	1	1111110011.jpg	2	3
206	5	1	0010010011.jpg	2	2
218	5	2	0101000011.jpg	6	5
230	5	1	1010111111.jpg	2	1
242	5	1	1000100011.jpg	2	4
254	5	2	0000001111.jpg	6	7
266	5	2	1101101111.jpg	6	6
278	5	2	0111011111.jpg	6	8
