onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	1010111111.jpg	2	1
14	5	2	0111011111.jpg	6	8
26	5	1	0010010011.jpg	2	2
38	5	2	0101000011.jpg	6	5
50	5	2	0000001111.jpg	6	7
62	5	2	1101101111.jpg	6	6
74	5	1	1000100011.jpg	2	4
86	5	1	1111110011.jpg	2	3
98	5	2	1101101111.jpg	6	6
110	5	1	1010111111.jpg	2	1
122	5	1	1111110011.jpg	2	3
134	5	2	0111011111.jpg	6	8
146	5	1	0010010011.jpg	2	2
158	5	2	0101000011.jpg	6	5
170	5	2	0000001111.jpg	6	7
182	5	1	1000100011.jpg	2	4
194	5	1	1010111111.jpg	2	1
206	5	1	0010010011.jpg	2	2
218	5	2	0000001111.jpg	6	7
230	5	2	0111011111.jpg	6	8
242	5	2	1101101111.jpg	6	6
254	5	1	1111110011.jpg	2	3
266	5	1	1000100011.jpg	2	4
278	5	2	0101000011.jpg	6	5
