onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0111011111.jpg	6	8
14	5	2	0101000011.jpg	6	5
26	5	2	0000001111.jpg	6	7
38	5	1	1010111111.jpg	2	1
50	5	1	1000100011.jpg	2	4
62	5	1	0010010011.jpg	2	2
74	5	2	1101101111.jpg	6	6
86	5	1	1111110011.jpg	2	3
98	5	2	1101101111.jpg	6	6
110	5	1	0010010011.jpg	2	2
122	5	1	1000100011.jpg	2	4
134	5	1	1010111111.jpg	2	1
146	5	2	0111011111.jpg	6	8
158	5	2	0000001111.jpg	6	7
170	5	1	1111110011.jpg	2	3
182	5	2	0101000011.jpg	6	5
194	5	2	1101101111.jpg	6	6
206	5	2	0000001111.jpg	6	7
218	5	2	0111011111.jpg	6	8
230	5	1	1010111111.jpg	2	1
242	5	2	0101000011.jpg	6	5
254	5	1	1000100011.jpg	2	4
266	5	1	1111110011.jpg	2	3
278	5	1	0010010011.jpg	2	2
