onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0111011111.jpg	6	8
14	5	2	0000001111.jpg	6	7
26	5	1	0010010011.jpg	2	2
38	5	1	1111110011.jpg	2	3
50	5	1	1010111111.jpg	2	1
62	5	2	1101101111.jpg	6	6
74	5	1	1000100011.jpg	2	4
86	5	2	0101000011.jpg	6	5
98	5	2	0111011111.jpg	6	8
110	5	1	1111110011.jpg	2	3
122	5	2	1101101111.jpg	6	6
134	5	1	1000100011.jpg	2	4
146	5	2	0000001111.jpg	6	7
158	5	1	1010111111.jpg	2	1
170	5	1	0010010011.jpg	2	2
182	5	2	0101000011.jpg	6	5
194	5	1	1111110011.jpg	2	3
206	5	1	0010010011.jpg	2	2
218	5	2	0111011111.jpg	6	8
230	5	1	1010111111.jpg	2	1
242	5	1	1000100011.jpg	2	4
254	5	2	0000001111.jpg	6	7
266	5	2	1101101111.jpg	6	6
278	5	2	0101000011.jpg	6	5
