onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0111010011.jpg	6	6
14	5	1	0010011111.jpg	2	4
26	5	2	1101100011.jpg	6	8
38	5	2	1010110011.jpg	6	7
50	5	1	0101001111.jpg	2	3
62	5	2	1111111111.jpg	6	5
74	5	1	0000000011.jpg	2	1
86	5	1	1000101111.jpg	2	2
98	5	1	0101001111.jpg	2	3
110	5	2	1101100011.jpg	6	8
122	5	2	0111010011.jpg	6	6
134	5	1	1000101111.jpg	2	2
146	5	1	0010011111.jpg	2	4
158	5	2	1010110011.jpg	6	7
170	5	2	1111111111.jpg	6	5
182	5	1	0000000011.jpg	2	1
194	5	1	0101001111.jpg	2	3
206	5	2	1010110011.jpg	6	7
218	5	2	1111111111.jpg	6	5
230	5	2	0111010011.jpg	6	6
242	5	1	0000000011.jpg	2	1
254	5	2	1101100011.jpg	6	8
266	5	1	1000101111.jpg	2	2
278	5	1	0010011111.jpg	2	4
