onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	1111110011.jpg	6	5
14	5	2	0111011111.jpg	6	6
26	5	1	0101000011.jpg	2	3
38	5	1	0010010011.jpg	2	4
50	5	2	1010111111.jpg	6	7
62	5	1	0000001111.jpg	2	1
74	5	1	1000100011.jpg	2	2
86	5	2	1101101111.jpg	6	8
98	5	2	1010111111.jpg	6	7
110	5	1	0010010011.jpg	2	4
122	5	2	1101101111.jpg	6	8
134	5	2	1111110011.jpg	6	5
146	5	2	0111011111.jpg	6	6
158	5	1	1000100011.jpg	2	2
170	5	1	0101000011.jpg	2	3
182	5	1	0000001111.jpg	2	1
194	5	2	1010111111.jpg	6	7
206	5	1	0101000011.jpg	2	3
218	5	2	1111110011.jpg	6	5
230	5	1	0000001111.jpg	2	1
242	5	1	1000100011.jpg	2	2
254	5	2	0111011111.jpg	6	6
266	5	1	0010010011.jpg	2	4
278	5	2	1101101111.jpg	6	8
