onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	0000001111.jpg	6	5
14	5	2	0101000011.jpg	6	7
26	5	2	1000100011.jpg	6	6
38	5	1	1101101111.jpg	2	4
50	5	1	1010111111.jpg	2	3
62	5	1	0111011111.jpg	2	2
74	5	2	0010010011.jpg	6	8
86	5	1	1111110011.jpg	2	1
98	5	1	1010111111.jpg	2	3
110	5	2	0000001111.jpg	6	5
122	5	1	1111110011.jpg	2	1
134	5	2	0010010011.jpg	6	8
146	5	1	0111011111.jpg	2	2
158	5	2	1000100011.jpg	6	6
170	5	2	0101000011.jpg	6	7
182	5	1	1101101111.jpg	2	4
194	5	2	0101000011.jpg	6	7
206	5	2	0010010011.jpg	6	8
218	5	2	0000001111.jpg	6	5
230	5	1	0111011111.jpg	2	2
242	5	1	1010111111.jpg	2	3
254	5	2	1000100011.jpg	6	6
266	5	1	1101101111.jpg	2	4
278	5	1	1111110011.jpg	2	1
