onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	2	1101100011.jpg	6	8
14	5	2	1010110011.jpg	6	7
26	5	1	0010011111.jpg	2	4
38	5	2	0111010011.jpg	6	6
50	5	1	0101001111.jpg	2	3
62	5	1	1000101111.jpg	2	2
74	5	1	0000000011.jpg	2	1
86	5	2	1111111111.jpg	6	5
98	5	2	1010110011.jpg	6	7
110	5	2	1101100011.jpg	6	8
122	5	1	0101001111.jpg	2	3
134	5	2	1111111111.jpg	6	5
146	5	1	1000101111.jpg	2	2
158	5	1	0010011111.jpg	2	4
170	5	2	0111010011.jpg	6	6
182	5	1	0000000011.jpg	2	1
194	5	2	1101100011.jpg	6	8
206	5	1	1000101111.jpg	2	2
218	5	2	1111111111.jpg	6	5
230	5	1	0101001111.jpg	2	3
242	5	2	1010110011.jpg	6	7
254	5	1	0010011111.jpg	2	4
266	5	2	0111010011.jpg	6	6
278	5	1	0000000011.jpg	2	1
