onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	0101001111.jpg	2	3
14	5	2	0111010011.jpg	6	6
26	5	1	0000000011.jpg	2	1
38	5	2	1010110011.jpg	6	7
50	5	2	1101100011.jpg	6	8
62	5	1	0010011111.jpg	2	4
74	5	1	1000101111.jpg	2	2
86	5	2	1111111111.jpg	6	5
98	5	1	0000000011.jpg	2	1
110	5	2	0111010011.jpg	6	6
122	5	2	1111111111.jpg	6	5
134	5	2	1101100011.jpg	6	8
146	5	1	0101001111.jpg	2	3
158	5	2	1010110011.jpg	6	7
170	5	1	1000101111.jpg	2	2
182	5	1	0010011111.jpg	2	4
194	5	1	0010011111.jpg	2	4
206	5	2	1010110011.jpg	6	7
218	5	2	0111010011.jpg	6	6
230	5	1	1000101111.jpg	2	2
242	5	2	1101100011.jpg	6	8
254	5	1	0000000011.jpg	2	1
266	5	1	0101001111.jpg	2	3
278	5	2	1111111111.jpg	6	5
