onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	0010011111.jpg	2	4
14	5	1	0101001111.jpg	2	3
26	5	2	1010110011.jpg	6	7
38	5	1	0000000011.jpg	2	1
50	5	2	0111010011.jpg	6	6
62	5	2	1111111111.jpg	6	5
74	5	2	1101100011.jpg	6	8
86	5	1	1000101111.jpg	2	2
98	5	2	1111111111.jpg	6	5
110	5	1	0010011111.jpg	2	4
122	5	1	0000000011.jpg	2	1
134	5	1	0101001111.jpg	2	3
146	5	2	1010110011.jpg	6	7
158	5	2	0111010011.jpg	6	6
170	5	2	1101100011.jpg	6	8
182	5	1	1000101111.jpg	2	2
194	5	1	1000101111.jpg	2	2
206	5	2	1101100011.jpg	6	8
218	5	2	1010110011.jpg	6	7
230	5	2	0111010011.jpg	6	6
242	5	1	0010011111.jpg	2	4
254	5	1	0000000011.jpg	2	1
266	5	2	1111111111.jpg	6	5
278	5	1	0101001111.jpg	2	3
