onset	duration	trial_type	stim_file	prot1distance	stim_idx
2	5	1	0000000011.jpg	2	1
14	5	1	0010011111.jpg	2	4
26	5	2	1111111111.jpg	6	5
38	5	2	1010110011.jpg	6	7
50	5	1	0101001111.jpg	2	3
62	5	2	1101100011.jpg	6	8
74	5	1	1000101111.jpg	2	2
86	5	2	0111010011.jpg	6	6
98	5	1	0000000011.jpg	2	1
110	5	2	1010110011.jpg	6	7
122	5	2	0111010011.jpg	6	6
134	5	1	1000101111.jpg	2	2
146	5	1	0101001111.jpg	2	3
158	5	2	1111111111.jpg	6	5
170	5	2	1101100011.jpg	6	8
182	5	1	0010011111.jpg	2	4
194	5	1	1000101111.jpg	2	2
206	5	1	0101001111.jpg	2	3
218	5	2	0111010011.jpg	6	6
230	5	2	1101100011.jpg	6	8
242	5	1	0000000011.jpg	2	1
254	5	2	1111111111.jpg	6	5
266	5	2	1010110011.jpg	6	7
278	5	1	0010011111.jpg	2	4
